image_name,"image_size:(width,height)",instructions,cycles,branches,cache-referencs,cache-misses
kodim1,"(768, 512)",199268206,60365151,10837229,52999,20999
kodim2,"(768, 512)",199226310,58447712,10834557,50865,20474
kodim3,"(768, 512)",199233404,58655188,10836939,50905,20528
kodim4,"(512, 768)",185181154,55865171,10842815,52078,21418
kodim5,"(768, 512)",199274664,61729358,10836454,52460,21233
kodim6,"(768, 512)",199252526,59437435,10835717,52455,20519
kodim7,"(768, 512)",199249643,59031790,10837609,53097,20694
kodim8,"(768, 512)",199315101,62508161,10839096,54008,21506
kodim9,"(512, 768)",185172091,57033704,10839051,53354,21708
kodim10,"(512, 768)",185160138,56103368,10838167,52012,20629
kodim11,"(768, 512)",199260471,59764178,10838567,54193,21942
kodim12,"(768, 512)",199219840,58632583,10832671,50525,20928
kodim13,"(768, 512)",199308764,63460686,10842258,60435,27686
kodim14,"(768, 512)",199249290,60175537,10836246,54567,22891
kodim15,"(768, 512)",199267174,59273103,10841091,54706,24525
kodim16,"(768, 512)",199261603,58586418,10841211,51314,20915
kodim17,"(512, 768)",185154092,56143607,10835816,51628,21106
kodim18,"(512, 768)",185175606,57314017,10839166,52343,21423
kodim19,"(512, 768)",185184220,57025470,10838616,51848,21004
kodim20,"(768, 512)",199236704,59227237,10835459,52167,21250
kodim21,"(768, 512)",199254637,59566554,10837407,52090,21236
kodim22,"(768, 512)",199240122,59175777,10836470,52135,20796
kodim23,"(768, 512)",199225331,58569037,10834315,51239,20255
kodim24,"(768, 512)",199257282,59891179,10837027,51518,21438
