image_name:kodim1,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
199.258.442,60.295.961,10.836.545,52.813,22.022
199.299.318,60.561.056,10.843.401,53.878,20.917
199.326.821,61.553.236,10.847.761,63.262,22.115
199.271.265,60.248.070,10.839.110,51.880,21.265
199.241.803,59.994.012,10.831.145,49.596,20.387
199.317.543,60.132.615,10.847.753,53.996,20.218
199.259.406,60.259.161,10.834.298,53.053,21.905
199.249.384,60.208.065,10.833.197,51.708,22.234
199.250.928,60.140.222,10.833.377,50.803,19.555
199.207.158,60.259.113,10.825.705,49.009,19.377
image_name:kodim2,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
199.255.566,58.468.686,10.841.138,50.797,21.205
199.233.793,58.309.519,10.834.936,52.013,21.644
199.221.044,58.271.081,10.833.569,48.690,19.788
199.239.278,58.349.284,10.836.442,51.201,20.743
199.238.622,58.488.303,10.836.377,52.414,20.223
199.197.275,58.298.927,10.829.774,49.005,19.775
199.207.426,58.405.334,10.831.336,51.732,20.339
199.198.157,58.888.397,10.829.741,52.076,21.496
199.222.107,58.518.526,10.833.864,49.228,19.763
199.249.835,58.479.070,10.838.395,51.500,19.766
image_name:kodim3,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
199.245.245,58.476.591,10.837.780,50.628,21.970
199.224.281,60.576.832,10.833.728,57.247,20.664
199.229.452,58.421.157,10.836.327,51.351,20.282
199.245.894,58.554.520,10.840.191,51.650,22.184
199.258.348,58.418.715,10.841.637,49.678,21.252
199.206.212,58.314.575,10.833.484,47.829,19.640
199.253.753,58.441.287,10.841.131,50.371,20.075
199.266.456,58.513.081,10.843.660,51.584,20.322
199.210.033,58.428.384,10.831.519,49.935,19.270
199.194.367,58.406.743,10.829.942,48.786,19.622
image_name:kodim4,"image_size(width,height):(512, 768)"
instructions,cycles,branches,cache-referencs,cache-misses
185.212.757,55.903.813,10.848.757,52.938,20.709
185.143.446,56.205.006,10.837.111,51.195,21.189
185.153.900,55.684.859,10.836.483,51.289,21.795
185.134.870,55.687.529,10.835.605,50.360,19.797
185.191.270,55.742.257,10.843.165,52.391,20.590
185.233.357,55.680.883,10.855.130,50.602,20.980
185.331.810,56.057.110,10.870.476,57.809,24.116
185.158.740,55.833.718,10.839.421,52.616,21.987
185.155.536,56.238.897,10.835.899,52.101,21.557
185.095.861,55.617.647,10.826.108,49.484,21.467
image_name:kodim5,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
199.289.466,63.495.954,10.838.917,53.136,20.072
199.312.088,61.713.443,10.842.395,56.264,22.086
199.256.270,60.993.818,10.832.717,51.122,22.333
199.289.515,61.865.526,10.839.135,55.737,20.889
199.259.758,60.963.046,10.834.887,50.815,21.876
199.268.817,63.963.523,10.834.655,52.854,21.904
199.244.728,61.122.607,10.831.652,50.738,21.005
199.268.471,61.188.044,10.835.250,53.150,20.780
199.242.775,60.993.806,10.831.432,49.637,21.023
199.314.756,60.993.815,10.843.505,51.152,20.371
image_name:kodim6,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
199.238.950,59.339.242,10.834.816,53.488,20.837
199.313.500,59.820.908,10.845.960,58.077,22.261
199.259.364,59.555.553,10.836.603,53.045,19.975
199.287.334,59.262.441,10.841.266,51.319,20.255
199.231.864,59.395.041,10.831.659,51.539,20.471
199.237.874,59.395.230,10.833.479,50.218,20.017
199.226.384,59.463.938,10.830.809,51.391,20.597
199.243.637,59.344.605,10.834.104,51.187,20.365
199.257.699,59.407.731,10.836.995,52.212,20.633
199.228.656,59.389.663,10.831.483,52.082,19.782
image_name:kodim7,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
199.295.519,58.935.572,10.845.669,53.434,19.915
199.231.040,58.893.084,10.833.242,50.329,19.526
199.224.677,58.940.341,10.833.136,51.927,21.111
199.240.484,58.902.259,10.835.897,53.080,21.004
199.235.559,59.527.854,10.835.084,56.313,20.094
199.218.199,58.971.847,10.832.579,52.780,20.923
199.287.174,59.386.197,10.845.297,56.214,20.865
199.218.680,58.711.277,10.832.110,50.235,21.126
199.240.626,58.758.029,10.836.049,51.572,19.995
199.304.480,59.291.442,10.847.029,55.092,22.387
image_name:kodim8,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
199.366.107,62.178.783,10.848.871,52.083,21.939
199.297.824,62.009.550,10.835.861,52.039,20.857
199.375.068,62.368.134,10.849.268,55.096,20.170
199.283.802,62.208.122,10.833.753,51.039,20.231
199.316.244,62.091.816,10.839.283,53.193,22.293
199.286.381,62.200.934,10.833.623,53.804,22.241
199.283.696,62.129.138,10.834.221,52.302,21.636
199.297.947,65.472.324,10.835.714,65.042,24.437
199.341.999,62.190.850,10.843.769,53.191,20.371
199.301.942,62.231.963,10.836.606,52.293,20.885
image_name:kodim9,"image_size(width,height):(512, 768)"
instructions,cycles,branches,cache-referencs,cache-misses
185.253.691,63.811.106,10.853.694,68.861,23.887
185.184.523,56.034.002,10.843.216,50.044,20.390
185.165.380,57.670.512,10.838.695,58.808,22.833
185.179.486,55.918.172,10.839.471,49.108,21.856
185.151.548,55.978.903,10.834.694,50.851,22.571
185.096.035,56.112.357,10.824.834,48.754,21.009
185.239.406,56.169.863,10.851.783,54.327,20.624
185.133.892,56.055.105,10.831.621,50.634,21.778
185.171.172,56.279.048,10.838.422,51.162,20.553
185.145.781,56.307.977,10.834.086,50.993,21.579
image_name:kodim10,"image_size(width,height):(512, 768)"
