image_name,"image_size:(width,height)",instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
kodim1,"(768, 512)",199374950,60856479,10857408,55348,22120,0.0188469266
kodim2,"(768, 512)",199421876,58782083,10873533,53331,21878,0.0178607383
kodim3,"(768, 512)",199301581,58717368,10849271,53143,22306,0.017849203400000003
kodim4,"(512, 768)",185217536,59237564,10848017,57349,24241,0.0184062602
kodim5,"(768, 512)",199274516,61351017,10836638,52413,22031,0.0184709674
kodim6,"(768, 512)",199284459,59696137,10841821,54384,22015,0.017996121400000002
kodim7,"(768, 512)",199238769,59216284,10835859,51922,21359,0.0184443573
kodim8,"(768, 512)",199312323,62979114,10838506,54494,22592,0.018983846700000005
kodim9,"(512, 768)",185165855,56284852,10837544,52205,22023,0.0169941127
kodim10,"(512, 768)",185210216,56409026,10846562,53745,22393,0.0176202673
kodim11,"(768, 512)",199255947,59350881,10837906,51678,22144,0.018032398800000002
kodim12,"(768, 512)",199263788,58691682,10841384,52226,22271,0.0176244978
kodim13,"(768, 512)",199316529,61360650,10844205,53781,21804,0.018631869899999997
kodim14,"(768, 512)",199257913,59791889,10838116,53217,21925,0.0181942898
kodim15,"(768, 512)",199253043,59282718,10838750,53775,21688,0.017925675500000002
kodim16,"(768, 512)",199275337,59251458,10844098,55789,22616,0.017871412500000003
kodim17,"(512, 768)",185329331,58998626,10869737,62889,26004,0.018452068699999997
kodim18,"(512, 768)",185332478,58839960,10869195,59326,26548,0.0181486021
kodim19,"(512, 768)",185368977,59322846,10873288,60614,24829,0.0182320005
kodim20,"(768, 512)",199433151,61239537,10872570,63563,26171,0.0188251941
kodim21,"(768, 512)",199347287,61002954,10854909,55400,22898,0.0188507378
kodim22,"(768, 512)",199343792,59400099,10857304,53978,22257,0.0180550125
kodim23,"(768, 512)",199223637,59404894,10833798,52427,22091,0.0179680042
kodim24,"(768, 512)",199327056,60268289,10850521,55642,22840,0.018093514300000002
