image_name,"image_size:(width,height)",instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
Brain2.pgm,"(675, 901)",279797521,84580043,16721528,71060,31101,0.025086597999999998
Jupiter.ppm,"(1390, 1079)",690453027,206930370,41150852,148526,67393,0.061415406500000005
Malamute.bmp,"(1616, 1080)",803546151,246463592,47872663,173470,78016,0.0720235122
Maltese.bmp,"(2238, 2446)",2522502380,757598656,150124482,456011,226062,0.2244345412
Mars.ppm,"(1280, 1024)",664831991,195120303,35975224,132487,61389,0.056708379200000006
Rainier.bmp,"(1920, 1080)",961187118,296596893,56866455,187164,88374,0.08938143579999999
Saturn.ppm,"(1500, 1200)",828719672,247119925,49364349,175405,79954,0.07216024830000001
Sun.ppm,"(2100, 2034)",1967919312,591399660,117124730,364639,179971,0.1747774655
Uranus.ppm,"(1920, 1080)",960905542,279741058,56854154,186283,90907,0.08052373809999999
airplane.ppm,"(512, 512)",123461714,38353900,7251588,41930,16382,0.0118617877
airplaneU2.pgm,"(1024, 1024)",494086616,147870676,28785575,106046,47661,0.0434973209
barbara.ppm,"(720, 576)",190787837,60260217,11427157,58012,23632,0.0181495414
bone_scint.pgm,"(1129, 1865)",969561558,302159089,57755695,212570,93076,0.0883020457
brickwall.bmp,"(1024, 1024)",494132518,149434709,28789043,109525,48291,0.0438224615
carpet.bmp,"(1024, 1024)",494246537,158291065,28789140,110777,48612,0.045411752900000005
girl.ppm,"(720, 576)",190745769,58277459,11422041,54979,23137,0.017776290300000004
lenna.ppm,"(512, 512)",123439751,37802923,7248585,41687,15940,0.011917522600000001
man.pgm,"(1024, 1024)",494150426,150925338,28790758,112631,49708,0.0445027168
monarch.ppm,"(768, 512)",199253870,59529387,10837600,53156,21749,0.0181530664
shoulderCR.pgm,"(1162, 684)",365654682,110487194,21826234,85133,38391,0.0328885033
textureA.bmp,"(1024, 1024)",494139863,152544902,28793616,116148,51147,0.0460329761
ultrasound.pgm,"(895, 597)",245796729,74924740,14701443,69475,27970,0.022567684600000002
