image_name:kodim1,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
199.330.307,60.275.886,10.846.690,53.352,22.920,"0,021346968"
199.523.525,60.382.105,10.886.432,53.337,20.788,"0,017524518"
199.473.833,61.701.439,10.877.533,59.390,22.815,"0,019230263"
199.291.389,60.688.570,10.840.375,57.815,23.148,"0,018881542"
199.302.234,60.262.405,10.842.115,52.727,21.818,"0,018201693"
199.280.974,61.543.620,10.838.610,59.034,21.676,"0,019311329"
199.560.372,60.524.325,10.895.953,51.362,20.318,"0,018221388"
199.403.986,62.120.711,10.863.401,60.502,23.914,"0,018657251"
199.295.685,60.347.296,10.841.880,49.244,20.663,"0,018261641"
199.287.197,60.718.441,10.841.097,56.725,23.144,"0,018832673"
image_name:kodim2,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
199.486.055,58.509.527,10.887.553,50.391,20.721,"0,017483085"
199.423.850,60.142.916,10.873.586,61.577,25.963,"0,018024180"
199.213.151,58.364.777,10.832.128,51.538,20.696,"0,018321959"
199.527.022,59.076.443,10.894.019,54.718,22.027,"0,018088224"
199.476.567,58.655.439,10.884.957,51.614,22.032,"0,017794722"
199.470.375,58.735.255,10.882.574,53.107,22.210,"0,018088697"
199.467.505,58.495.516,10.882.330,51.428,20.487,"0,017668162"
199.471.098,58.825.067,10.882.100,57.496,23.089,"0,017890306"
199.453.320,58.481.867,10.878.699,51.092,20.603,"0,017490204"
199.229.822,58.534.030,10.837.389,50.350,20.960,"0,017757844"
image_name:kodim3,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
199.250.875,59.280.375,10.838.029,58.862,23.868,"0,018295845"
199.257.422,58.680.056,10.840.552,54.295,24.111,"0,017826318"
199.227.495,58.409.923,10.833.567,50.715,21.205,"0,017591697"
199.218.830,58.667.906,10.833.734,52.067,21.430,"0,017957927"
