image_name:Brain2.pgm,"image_size(width,height):(675, 901)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
279.833.697,84.289.819,16.727.476,69.867,36.514,"0,029370127"
279.806.079,84.213.029,16.722.027,68.256,29.759,"0,024118522"
279.809.858,84.873.802,16.722.822,76.385,32.674,"0,025058975"
279.763.421,84.203.726,16.714.738,66.217,28.987,"0,023094404"
279.770.722,85.053.246,16.715.803,77.371,31.464,"0,024992617"
279.810.302,84.211.278,16.722.573,69.593,28.602,"0,023731272"
279.800.222,85.232.327,16.720.924,81.388,33.687,"0,025547020"
279.809.423,84.281.240,16.725.361,67.076,29.691,"0,024755007"
279.792.451,85.274.679,16.722.870,68.904,31.168,"0,025682887"
279.779.042,84.167.288,16.720.691,65.550,28.470,"0,024515149"
image_name:Jupiter.ppm,"image_size(width,height):(1390, 1079)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
690.483.259,204.397.013,41.157.479,142.639,63.641,"0,064046695"
690.478.601,205.472.956,41.156.188,138.832,65.301,"0,062722810"
690.420.928,207.235.929,41.145.375,148.023,65.475,"0,058876877"
690.437.400,205.197.207,41.149.733,136.370,66.681,"0,061194303"
690.424.226,204.865.621,41.147.196,138.768,67.587,"0,062384839"
690.589.851,205.731.937,41.179.977,148.568,68.705,"0,059318355"
690.503.004,214.566.786,41.159.011,182.341,78.032,"0,063712063"
690.381.895,205.788.919,41.133.223,146.174,65.586,"0,060575799"
690.403.919,206.855.430,41.136.601,155.152,66.338,"0,061989742"
690.407.188,209.191.910,41.143.738,148.394,66.588,"0,059332582"
image_name:Malamute.bmp,"image_size(width,height):(1616, 1080)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
803.500.228,244.784.449,47.860.991,164.683,75.954,"0,069683870"
803.473.857,245.075.506,47.860.460,167.513,75.334,"0,071518008"
803.659.780,244.724.877,47.899.360,167.715,79.059,"0,074593421"
803.517.018,248.319.099,47.867.150,180.441,77.720,"0,074035914"
803.468.116,243.854.716,47.857.949,162.089,76.128,"0,067976589"
803.531.935,253.995.170,47.866.936,212.344,84.965,"0,075471340"
