image_name,"image_size:(width,height)",instructions,cycles,branches,cache-referencs,cache-misses
kodim1,"(768, 512)",62942909,44168119,5268644,2148219,361758
kodim2,"(768, 512)",62882809,45523592,5257965,2119654,365123
kodim3,"(768, 512)",62852950,44747681,5261836,2171836,370032
kodim4,"(512, 768)",66393357,46283246,6640644,2187102,371622
kodim5,"(768, 512)",62802210,44534352,5241763,2173414,369249
kodim6,"(768, 512)",62863807,51603814,5255665,2122480,405234
kodim7,"(768, 512)",62805921,44492548,5246519,2171435,364138
kodim8,"(768, 512)",62845324,44886699,5253548,2168425,377043
kodim9,"(512, 768)",66442225,46647260,6653321,2204638,372413
kodim10,"(512, 768)",66434393,46407830,6650430,2181677,371017
kodim11,"(768, 512)",62787705,44494404,5240387,2167011,365560
kodim12,"(768, 512)",62835804,44221550,5257711,2166104,359827
kodim13,"(768, 512)",62786637,44424154,5239963,2154840,363115
kodim14,"(768, 512)",62766227,44146384,5237168,2179717,362170
kodim15,"(768, 512)",62912338,46196947,5260094,2167321,391291
kodim16,"(768, 512)",62810033,50827731,5239337,2122885,408411
kodim17,"(512, 768)",66447291,47033632,6656409,2174135,389112
kodim18,"(512, 768)",66474063,46653783,6665089,2185206,372194
kodim19,"(512, 768)",66413237,46482134,6647300,2173471,377211
kodim20,"(768, 512)",62836684,45969702,5251473,2189873,385648
kodim21,"(768, 512)",62811904,45893732,5243758,2160268,393371
kodim22,"(768, 512)",62749243,44845567,5228446,2174720,373501
kodim23,"(768, 512)",62752382,45117156,5230217,2202114,375672
kodim24,"(768, 512)",62787227,44953037,5239771,2198219,377767
