image_name:kodim1,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
63.652.547,41.710.479,5.407.574,2.055.818,356.040
63.017.973,44.594.052,5.282.424,2.140.167,357.728
62.759.126,45.396.013,5.231.744,2.138.795,361.565
62.732.735,43.985.602,5.226.241,2.163.173,362.045
62.802.498,44.984.749,5.257.291,2.160.956,379.052
63.525.238,43.836.545,5.368.663,2.101.992,347.929
62.754.207,44.571.511,5.230.945,2.189.966,358.297
62.758.087,44.190.208,5.235.341,2.159.157,361.171
62.699.450,44.111.538,5.220.115,2.179.052,367.295
62.727.231,44.300.494,5.226.111,2.193.121,366.465
image_name:kodim2,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
63.319.352,45.433.782,5.330.958,2.070.305,370.757
62.785.345,43.883.179,5.240.744,2.160.559,358.419
62.736.969,43.717.188,5.227.895,2.116.536,352.740
62.789.779,44.612.945,5.241.186,2.190.310,354.455
62.729.936,44.114.958,5.226.068,2.151.821,355.766
63.265.473,55.753.770,5.320.326,2.014.382,406.958
62.848.889,44.698.293,5.264.938,2.078.677,370.543
62.769.738,44.064.133,5.234.696,2.110.293,355.392
62.827.777,44.720.488,5.261.851,2.144.794,369.820
62.754.835,44.237.192,5.230.994,2.158.867,356.387
image_name:kodim3,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses
63.048.330,45.641.392,5.303.188,2.171.668,388.200
62.786.539,44.016.108,5.235.326,2.185.553,357.749
62.890.621,44.677.907,5.268.194,2.153.763,372.072
62.860.923,44.583.808,5.267.886,2.198.932,371.041
62.806.820,44.878.094,5.257.940,2.192.346,373.316
62.795.989,44.491.539,5.251.309,2.167.237,369.175
62.820.726,44.768.068,5.256.299,2.181.287,363.066
62.882.112,45.244.595,5.266.611,2.122.532,380.325
62.863.970,44.819.180,5.264.116,2.182.702,360.681
62.773.470,44.356.124,5.247.492,2.162.341,364.703
