image_name,"image_size:(width,height)",instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
kodim1,"(768, 512)",64341753,46183043,5552284,2173056,382737,0.0141890919
kodim2,"(768, 512)",65700902,46586404,5824140,2170843,378488,0.0143830925
kodim3,"(768, 512)",65176547,46548481,5719505,2182849,380097,0.0143424362
kodim4,"(512, 768)",70543252,51492513,7470717,2247757,413619,0.0158411741
kodim5,"(768, 512)",66343662,61260631,5948829,2114643,429669,0.020432457300000005
kodim6,"(768, 512)",66302530,47294816,5942776,2179661,386308,0.0147155367
kodim7,"(768, 512)",64370290,47158978,5557061,2180824,394658,0.014578128800000001
kodim8,"(768, 512)",65691942,49772717,5829965,2173349,396864,0.015427138900000002
kodim9,"(512, 768)",68189126,48812536,7004520,2228656,402913,0.015029240600000002
kodim10,"(512, 768)",67781330,60744991,6914593,2132252,441127,0.0194599306
kodim11,"(768, 512)",65613379,47808350,5798776,2137976,389770,0.0147201211
kodim12,"(768, 512)",65458363,46333870,5764933,2179782,381195,0.0141143972
kodim13,"(768, 512)",65610515,46634823,5795439,2173603,376538,0.014387242500000003
kodim14,"(768, 512)",64679327,46265756,5611486,2187440,382702,0.013892559199999998
kodim15,"(768, 512)",64633972,46388751,5604011,2180927,377097,0.014265909099999998
kodim16,"(768, 512)",64219640,48043590,5521764,2153547,409485,0.0149577613
kodim17,"(512, 768)",67905145,48740479,6941165,2205437,398211,0.014678319299999998
kodim18,"(512, 768)",67372946,50275327,6830856,2209150,393975,0.015698848300000002
kodim19,"(512, 768)",68828165,48435951,7122511,2229195,393098,0.0152315954
kodim20,"(768, 512)",66026774,46897462,5881664,2196917,381569,0.014156376599999998
kodim21,"(768, 512)",66201921,47324563,5920218,2171260,385269,0.014370644399999999
kodim22,"(768, 512)",65333445,46171917,5744062,2190916,378431,0.013791709800000001
kodim23,"(768, 512)",64699344,46428097,5621037,2194256,382398,0.0140475821
kodim24,"(768, 512)",65810761,46776176,5842285,2191475,382866,0.014467587099999998
