image_name,"image_size:(width,height)",instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
Brain2.pgm,"(675, 901)",371484398,126039839,32165776,1156191,653812,0.0368351666
Jupiter.ppm,"(1390, 1079)",1172863618,387906093,95559104,2987239,1546204,0.1106406315
Malamute.bmp,"(1616, 1080)",509629763,299245397,44851432,2799058,1788756,0.0849091069
Maltese.bmp,"(2238, 2446)",3348829082,1274355646,180516101,37655630,5922883,0.3665577029
Mars.ppm,"(1280, 1024)",192058747,147819314,14712438,7109172,1459947,0.0424720355
Rainier.bmp,"(1920, 1080)",417454204,240975492,34733643,9519187,2163415,0.07015649339999999
Saturn.ppm,"(1500, 1200)",325134164,184785874,26770539,2403020,1728231,0.05442645760000001
Sun.ppm,"(2100, 2034)",1671424241,683608921,112024657,16192105,4423599,0.2001108875
Uranus.ppm,"(1920, 1080)",418127306,242896761,34838614,9564974,2198010,0.0704953268
airplane.ppm,"(512, 512)",38859703,29703480,3539511,1511315,240197,0.0093389385
airplaneU2.pgm,"(1024, 1024)",146489248,143927339,11729086,6177077,1632428,0.0475557986
barbara.ppm,"(720, 576)",91133128,46072169,9235709,578310,377891,0.014711580499999998
bone_scint.pgm,"(1129, 1865)",1211196805,432757850,69662798,7108038,2410617,0.1401598758
brickwall.bmp,"(1024, 1024)",147739208,143892411,11946491,6365165,1668357,0.047435984900000006
carpet.bmp,"(1024, 1024)",147302142,136389609,11860036,6146051,1501851,0.0437828716
girl.ppm,"(720, 576)",91145900,46341817,9247505,574020,377182,0.013805097899999999
lenna.ppm,"(512, 512)",38866956,29577271,3544344,1561616,232876,0.0094055857
man.pgm,"(1024, 1024)",147328996,177451317,11886923,6586712,2232322,0.06413618569999999
monarch.ppm,"(768, 512)",62791355,45046001,5238191,2179123,378609,0.0137690007
shoulderCR.pgm,"(1162, 684)",449848664,152460469,36404608,1378982,762878,0.0440404782
textureA.bmp,"(1024, 1024)",146272712,128848174,11705046,6150960,1442204,0.0409399261
ultrasound.pgm,"(895, 597)",316290571,109941078,22541253,1261436,578444,0.0324823536
