image_name:kodim1,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
65.384.730,47.624.652,5.756.530,2.229.354,396.574,"0,014942449"
63.648.759,45.514.700,5.405.776,2.206.326,375.223,"0,013227871"
65.456.281,46.219.752,5.770.830,2.191.011,379.413,"0,014261064"
62.891.069,45.418.679,5.272.767,2.220.378,380.565,"0,013763865"
63.429.015,45.448.036,5.365.492,2.212.452,382.729,"0,013949068"
66.156.794,45.892.349,5.920.662,2.110.640,373.661,"0,013935106"
62.867.392,45.644.617,5.263.691,2.143.178,392.584,"0,013896668"
62.887.291,44.325.787,5.266.905,2.148.164,365.259,"0,013197401"
67.494.715,46.406.626,6.181.592,2.081.440,372.343,"0,015807478"
63.201.492,49.335.232,5.318.598,2.187.619,409.026,"0,014909949"
image_name:kodim2,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
66.825.340,46.899.552,6.047.131,2.223.265,378.440,"0,014167651"
67.674.947,46.697.134,6.223.379,2.089.270,378.641,"0,014503824"
65.755.775,45.810.903,5.841.827,2.173.718,374.651,"0,014363183"
67.327.793,47.268.818,6.122.255,2.200.428,387.389,"0,015339939"
65.672.102,47.449.149,5.825.286,2.151.414,381.553,"0,014470567"
63.273.179,46.732.815,5.337.175,2.189.835,381.516,"0,014496390"
63.339.986,45.920.093,5.348.412,2.213.312,381.433,"0,014269615"
65.732.917,46.043.608,5.836.148,2.139.186,378.333,"0,013944246"
65.736.750,46.546.902,5.836.684,2.158.222,367.412,"0,014145254"
65.670.236,46.495.068,5.823.104,2.169.781,375.515,"0,014130256"
image_name:kodim3,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
63.114.298,46.243.603,5.313.889,2.157.127,393.202,"0,014316438"
67.191.837,47.024.095,6.122.345,2.200.114,380.207,"0,014332116"
67.081.690,46.840.505,6.097.819,2.207.726,377.076,"0,014069500"
63.252.550,45.838.505,5.340.323,2.216.335,378.260,"0,014265918"
67.784.070,47.030.972,6.243.501,2.111.858,378.541,"0,014235909"
63.351.253,45.215.670,5.352.409,2.185.023,370.872,"0,014801379"
67.298.205,46.124.959,6.144.892,2.153.734,383.427,"0,014043759"
63.212.755,45.455.623,5.331.564,2.199.967,388.598,"0,014366628"
66.218.510,46.454.295,5.912.839,2.194.202,371.372,"0,014044752"
63.260.302,49.256.590,5.335.473,2.202.411,379.416,"0,014947963"
image_name:kodim4,"image_size(width,height):(512, 768)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
70.835.031,49.141.755,7.530.584,2.207.042,399.693,"0,015855372"
70.837.123,51.598.449,7.530.424,2.364.185,437.150,"0,015910156"
70.839.117,50.394.829,7.529.479,2.182.042,415.005,"0,016057107"
70.552.658,57.970.535,7.474.108,2.131.091,431.809,"0,018923829"
70.892.787,57.870.430,7.540.921,2.314.618,457.039,"0,018040814"
70.853.852,49.356.832,7.533.895,2.202.217,398.453,"0,015063585"
70.855.869,51.055.406,7.537.675,2.238.776,417.608,"0,014540358"
71.663.929,49.935.958,7.680.629,2.291.106,390.912,"0,014709396"
71.278.157,50.121.177,7.626.618,2.360.264,385.993,"0,014672472"
66.824.003,47.479.762,6.722.846,2.186.237,402.534,"0,014638652"
image_name:kodim5,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
62.829.218,54.639.038,5.242.789,2.101.601,422.765,"0,017395453"
67.425.742,57.441.885,6.174.024,2.119.216,437.382,"0,019102698"
67.421.390,69.550.980,6.168.716,2.104.001,444.189,"0,023391930"
68.194.859,67.260.463,6.328.165,2.071.909,454.120,"0,022677881"
62.905.972,59.371.376,5.260.309,2.073.580,443.956,"0,021172497"
67.695.383,61.001.913,6.210.604,2.024.779,433.481,"0,019563791"
67.958.916,55.427.037,6.284.122,2.184.574,437.613,"0,018763097"
64.365.593,45.730.853,5.545.291,2.177.372,384.397,"0,014139373"
67.334.882,72.451.539,6.139.710,2.080.442,442.557,"0,025291098"
67.304.673,69.731.235,6.134.569,2.208.964,396.231,"0,022826755"
image_name:kodim6,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
67.250.832,47.416.050,6.131.395,2.168.107,393.119,"0,014455138"
67.179.036,46.389.796,6.117.406,2.188.885,366.423,"0,013845718"
67.153.624,46.789.859,6.112.980,2.189.040,364.085,"0,014519711"
67.093.140,48.273.759,6.100.816,2.193.177,378.510,"0,014889377"
62.800.682,45.853.100,5.243.045,2.184.975,378.571,"0,014596091"
67.446.252,48.818.430,6.182.373,2.199.885,386.607,"0,015470696"
67.051.206,48.359.762,6.092.846,2.201.607,392.399,"0,015470289"
67.090.072,46.941.706,6.100.286,2.157.229,395.046,"0,014331136"
62.799.469,47.436.765,5.233.107,2.152.247,415.895,"0,014989177"
67.160.990,46.668.940,6.113.510,2.161.463,392.427,"0,014588034"
image_name:kodim7,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
62.763.832,47.173.840,5.235.867,2.163.767,405.142,"0,014708635"
62.785.907,46.262.978,5.240.667,2.242.396,384.512,"0,014283278"
62.866.136,48.170.999,5.254.641,2.182.326,405.742,"0,014971990"
63.613.183,48.507.932,5.403.461,2.110.485,418.774,"0,014907524"
62.827.914,46.382.640,5.247.056,2.178.980,405.811,"0,014243206"
63.568.210,45.815.017,5.394.693,2.217.569,374.649,"0,014281534"
63.514.262,46.361.806,5.384.096,2.193.199,386.748,"0,013972359"
67.193.695,48.943.180,6.120.080,2.121.205,409.355,"0,015508116"
67.136.534,46.202.463,6.109.471,2.196.560,372.865,"0,014205442"
67.433.230,47.768.926,6.180.583,2.201.753,382.984,"0,014699204"
image_name:kodim8,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
65.161.379,51.412.219,5.723.185,2.087.688,437.432,"0,017416121"
65.026.461,45.867.647,5.699.988,2.207.639,377.527,"0,013523879"
64.993.257,45.636.207,5.693.725,2.207.812,368.687,"0,013240528"
65.029.386,46.344.945,5.699.454,2.218.598,379.430,"0,014417878"
