image_name:Brain2.pgm,"image_size(width,height):(675, 901)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
371.535.487,125.290.822,32.201.612,1.163.963,648.682,"0,037813960"
371.547.055,124.099.803,32.203.774,1.169.438,637.246,"0,036310151"
370.688.148,128.140.083,32.031.302,1.182.225,714.987,"0,037797766"
370.653.248,123.212.706,32.025.316,1.141.830,623.914,"0,034002243"
370.664.323,132.830.972,32.027.946,1.150.690,715.483,"0,039288990"
372.321.823,124.015.808,32.315.961,1.143.251,614.817,"0,036323085"
371.659.568,122.095.856,32.184.822,1.126.835,613.936,"0,035734208"
371.733.164,123.681.983,32.200.837,1.147.765,619.833,"0,035319323"
372.364.833,130.302.135,32.302.973,1.196.796,693.865,"0,039039805"
371.676.333,126.728.224,32.163.219,1.139.122,655.357,"0,036722135"
image_name:Jupiter.ppm,"image_size(width,height):(1390, 1079)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
1.172.713.835,385.967.229,95.528.558,2.906.665,1.535.771,"0,107085986"
1.173.206.993,385.668.224,95.592.084,2.922.317,1.544.357,"0,105665231"
1.172.407.391,386.238.543,95.513.952,2.897.381,1.523.284,"0,107314519"
1.173.875.309,384.116.518,95.736.983,3.089.094,1.567.431,"0,113773602"
1.172.165.376,389.607.707,95.412.524,2.881.082,1.519.104,"0,110467803"
1.173.077.177,394.053.355,95.621.965,2.924.406,1.551.734,"0,109138318"
1.172.195.354,389.287.082,95.412.581,3.189.099,1.559.758,"0,108810366"
1.173.260.079,388.456.389,95.673.604,2.950.065,1.544.210,"0,113639998"
1.173.247.431,388.278.120,95.670.215,3.104.025,1.559.803,"0,114986657"
1.172.487.239,387.387.772,95.428.580,3.008.264,1.556.597,"0,115523835"
image_name:Malamute.bmp,"image_size(width,height):(1616, 1080)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
510.085.730,298.741.668,45.029.242,2.784.290,1.766.938,"0,085177120"
