video_name,video_width,video_height,instructions,cycles,branches,cache-referencs,cache-misses,times elapsed in s
BQMall_832x480_libx265_crf28.mp4,832,480,248.942.931,66.552.467,22.000.688,176.858,87.624,"0,022910641"
BQSquare_416x240_libx265_crf28.mp4,416,240,62.207.771,16.799.171,5.540.158,59.134,28.531,"0,005525186"
BQTerrace_1920x1080_libx265_crf28.mp4,1920,1080,1.295.473.331,347.932.806,114.323.844,845.050,464.107,"0,106629804"
BasketballDrill_832x480_libx265_crf28.mp4,832,480,248.944.311,67.113.740,22.004.741,173.016,87.965,"0,020963714"
BasketballDrive_1920x1080_libx265_crf28.mp4,1920,1080,1.295.689.708,343.744.813,114.376.101,844.789,457.342,"0,107975693"
BasketballPass_416x240_libx265_crf28.mp4,416,240,62.250.166,19.628.328,5.547.115,71.236,33.503,"0,006876821"
BlowingBubbles_416x240_libx265_crf28.mp4,416,240,62.208.894,16.560.729,5.539.922,57.612,26.102,"0,005346789"
Cactus_1920x1080_libx265_crf28.mp4,1920,1080,1.294.962.924,341.050.422,114.239.506,814.260,440.224,"0,104298896"
FourPeople_1280x720_libx265_crf28.mp4,1280,720,630.029.631,157.965.284,50.741.290,391.941,195.878,"0,049313690"
Johnny_1280x720_libx265_crf28.mp4,1280,720,630.052.536,159.178.288,50.749.549,369.439,198.249,"0,050974683"
PartyScene_832x480_libx265_crf28.mp4,832,480,248.939.098,66.234.719,22.000.143,186.743,87.957,"0,020317924"
RaceHorses_416x240_libx265_crf28.mp4,416,240,62.223.465,16.983.885,5.542.427,60.991,29.830,"0,006278143"
SlideEditing_1280x720_libx265_crf28.mp4,1280,720,629.972.180,163.419.470,50.720.020,384.027,206.707,"0,048195980"
SlideShow_1280x720_libx265_crf28.mp4,1280,720,630.380.926,157.387.157,50.810.134,376.476,205.819,"0,053257398"
